,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,31.597726821899414,1.8633473845696753,2.934669542312622,0.07505538696681158,400,5,1,sqrt,30,True,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",0.8082627931964304,0.8115683589454142,0.8385221997235273,0.8261048633825727,0.8396315456176052,0.8248179521731099,0.013103664384938195,34
1,91.33974480628967,0.6288636389650091,12.566471672058105,0.07515511681523294,2000,5,1,sqrt,10,True,"{'n_estimators': 2000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.42900195835649535,0.42802360399769807,0.4583789597270704,0.44521385182865286,0.4472214231926064,0.4415679594205046,0.011569078286031308,93
2,68.00935111045837,0.2748675102968083,7.660141229629517,0.08250318061060462,1200,5,2,sqrt,10,False,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",0.43171272277107897,0.4316487944999332,0.46338369432864385,0.44550589067222107,0.45039590825055315,0.44452940210448605,0.012008589267324834,89
3,178.83442826271056,0.44958641968508734,13.13616042137146,0.0471969188759194,2000,2,4,auto,30,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 30, 'bootstrap': False}",0.8036226085593163,0.7976294775325496,0.8335514431664229,0.8223091900640629,0.8358700009022272,0.8185965440449158,0.0154896202797888,52
4,73.26271996498107,0.5588891779532512,10.285764980316163,0.21851009016649306,1600,2,4,sqrt,10,True,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.4275715568534581,0.42778389924876986,0.44214547634409324,0.4400892942095142,0.4312197587951332,0.4337619970901937,0.006178018985270749,99
5,73.43077669143676,0.16838984001385077,5.423729515075683,0.04815677394312448,800,5,4,sqrt,30,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",0.8040038536459426,0.7985903259989275,0.8335596114948245,0.8221292617778914,0.8346387579386554,0.8185843621712483,0.014878983435017114,53
6,112.25008549690247,12.064072279700103,6.74875955581665,0.040867853039296416,1000,5,2,sqrt,100,False,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",0.8219651341994603,0.8260152919136178,0.8511343333754879,0.8397858392034526,0.853789657592099,0.8385380512568235,0.012839905569255891,12
7,66.14028067588806,7.624256299304768,4.180242013931275,0.040482221906786,600,5,1,sqrt,60,False,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': False}",0.8268882197167181,0.8330773312917646,0.8577510568123077,0.8455536062035768,0.8615685222260147,0.8449677472500763,0.01347288589256291,7
8,200.0873562335968,10.322457153595593,6.93516435623169,0.1511700163957013,1000,2,1,auto,50,False,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': False}",0.8351607976451817,0.8442170451965773,0.8638412158428243,0.8529458325351815,0.8680205822796438,0.8528370946998816,0.012152345717067034,2
9,101.13546137809753,0.3852678280451894,11.438964986801148,0.18530747762535862,1800,5,4,auto,10,False,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",0.4279372864631292,0.42892372233934933,0.4508134507469564,0.441618938967423,0.44963992947487197,0.439786665598346,0.009802503226945534,94
10,26.844044351577757,0.08475517637072245,2.849168825149536,0.001472232207786476,400,10,4,auto,70,True,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.7657510326585442,0.7690322971955162,0.8080148114726536,0.7963092079476894,0.8078814173373282,0.7893977533223463,0.01849285319270429,86
11,92.38014311790467,7.89630602966681,5.465497779846191,0.0654661503498189,800,5,1,sqrt,90,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 90, 'bootstrap': False}",0.8270384191019609,0.8341566229707019,0.8568769730993616,0.8464645089307051,0.8604686566155965,0.8450010361436652,0.012827188486107595,6
12,111.84122519493103,0.26785181310625067,12.690110731124879,0.12747397282017486,2000,10,1,sqrt,10,False,"{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",0.4332340019966549,0.43864547068663085,0.4688233897783698,0.44400653162679227,0.4509814710946411,0.44713817303661774,0.012331088423438682,88
13,89.50537958145142,0.48599134588521714,10.117059707641602,0.10302871263645431,1600,5,2,sqrt,10,False,"{'n_estimators': 1600, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",0.4311003669552488,0.43745543395252146,0.46140049911777525,0.44557664194281,0.4469305072909433,0.4444926898518597,0.010216351631910635,90
