,mask_type,n_independent,n_shared,Mean Loss,Mean Train Acc,Mean Valid Acc,Max Loss,Max Train Acc,Max Valid Acc
0,entmax,1,1,1.6528616401231049,0.22119064427365892,0.22119064427365892,2.959516682883284,0.3037025949809525,0.30157426396621007
1,entmax,1,2,1.5660714548283567,0.2584639475476339,0.2584639475476339,2.5080872036320994,0.3647310491565008,0.3572359254530501
2,entmax,1,5,1.5463936353959786,0.23858524640260295,0.23858524640260295,2.7412405872706636,0.33187350032098245,0.3286747649958748
3,entmax,4,1,1.4897836760105323,0.28476002256119654,0.28476002256119654,2.6085474650411555,0.38196224716276733,0.3804960134728638
4,entmax,4,2,1.5271839217951257,0.2663053294767629,0.2663053294767629,2.8462282571322572,0.3588488749243554,0.35793210584367113
5,entmax,4,5,1.510017001080843,0.26583637488191464,0.26583637488191464,2.8118392946024406,0.3527070759517208,0.3535426289445509
6,entmax,5,1,1.5010738870495965,0.27380186111023336,0.27380186111023336,2.752721732559637,0.38960574651759816,0.386030207069802
7,entmax,5,2,1.4836585275641043,0.28087373868571563,0.28087373868571563,2.704068160596447,0.3889126384301139,0.38077550479705286
8,entmax,5,5,1.5508838107316525,0.24642557695351064,0.24642557695351064,2.833667784492477,0.38287076329574143,0.37596192965232994
9,entmax,10,1,1.4401515222533647,0.2820116697505274,0.2820116697505274,2.5450849592469846,0.3880662914649248,0.38547294098842694
10,entmax,10,2,1.4754054971325725,0.28863484211180646,0.28863484211180646,2.7904375177577054,0.4125095835261444,0.4089015341438334
11,entmax,10,5,1.5438191336826654,0.2821467194411716,0.2821467194411716,3.055278396256767,0.4051261256065704,0.40511655757324977
12,sparsemax,1,1,1.7072365372674958,0.20456279502021638,0.20456279502021638,2.9616988947678,0.27869699307052964,0.27737450800867053
13,sparsemax,1,2,1.6073307028747224,0.22173722060224743,0.22173722060224743,2.5218916408002974,0.2853124366119552,0.28600975264343265
14,sparsemax,1,5,1.5819410903938371,0.22257425637400483,0.22257425637400483,2.7410626222585655,0.2862341178935715,0.2833010257432491
15,sparsemax,4,1,1.531046811645792,0.2740677210855365,0.2740677210855365,2.62087166146143,0.3767855254316039,0.3774704460696172
16,sparsemax,4,2,1.5680195247802713,0.2615001581615991,0.2615001581615991,2.864650963627114,0.3413759236863258,0.34194577932669895
17,sparsemax,4,5,1.579760178958621,0.25822748981441185,0.25822748981441185,2.888739718715022,0.3479261223886741,0.35486792453586247
18,sparsemax,5,1,1.5682464327167245,0.252042373804286,0.252042373804286,2.7868170362668083,0.37926738763891116,0.38026545272863127
19,sparsemax,5,2,1.557954187101947,0.2535219915846847,0.2535219915846847,2.736077458944193,0.37437705422959416,0.371639266935763
20,sparsemax,5,5,1.570454984295581,0.2569825799431114,0.2569825799431114,2.8325821576193477,0.3712678623978569,0.3670123723075479
21,sparsemax,10,1,1.5249875664831447,0.2594348855859119,0.2594348855859119,2.5644228329875842,0.3730367214778185,0.3652820603168134
22,sparsemax,10,2,1.5825675549743867,0.2428288946334814,0.2428288946334814,2.7734855858227205,0.3686658740763182,0.37028217433129806
23,sparsemax,10,5,1.679481276080234,0.2194874783014838,0.2194874783014838,2.977728927133382,0.31309692690815466,0.31630801015262455
