wlbWellboreName,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbWellType,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSiteSurvey,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbPluggedDate,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbWdssQcDate,wlbReleasedDate,wlbDateReclass,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbNpdidSiteSurvey,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD
2_7-19 R,2_7_2019,Phillips Petroleum Company Norway,18,WILDCAT,P&A,OIL,EXPLORATION, NO,15.01.1990,14.03.1990,,262-L2,2_7-19 (Ebba),NO,179,,PG 030615- SP. 12,3.4,22,4873,4873,73,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,ROSS ISLE,SEMISUB STEEL,MOVEABLE,1-A,NO,WILDCAT,1990,1990,,TESTING,5,ULA FM,LATE JURASSIC,,,                    ,                    ,59,YES,,14.03.1990,,ED50  ,56,20,19.1,N,3,6,12.2,E,56.338639,3.103389,6243913.56,506391.96,31,2,7, ,19,R,, ,https:__factpages.npd.no_factpages_default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1512,https:__factmaps.npd.no_factmaps_3_0_?run=WellboreExpByNPDID&scale=100000&NPDID=1512,re-entry            ,2_7_2019,17.06.2009,14.03.1992,,1512,44120,,296245,0,20900,,01.07.2020,10.03.2020,29.09.2020
2_7_2020,2_7_2020,Phillips Petroleum Company Norway,18,WILDCAT,SUSPENDED,OIL,EXPLORATION, NO,15.10.1987,25.06.1988,EMBLA,566-L,2_7-20 Embla,YES,167,,NS 210  SP. 720,5.2,25,4508,4509,70.8,,DEVONIAN            ,NO GROUP DEFINED    ,NORTH SEA,DYVI STENA,SEMISUB STEEL,MOVEABLE,1-A,NO,WILDCAT,1987,1988,,,5,NO GROUP DEFINED,DEVONIAN,,,                    ,                    ,255,NO,,,,ED50  ,56,20,0.1,N,3,14,54.7,E,56.333361,3.248528,6243349.04,515367.19,31,2,7, ,20,,, ,https:__factpages.npd.no_factpages_default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1062,https:__factmaps.npd.no_factmaps_3_0_?run=WellboreExpByNPDID&scale=100000&NPDID=1062,initial             ,                                        ,10.10.2012,25.06.1990,,1062,44132,43534,290980,0,20900,,03.10.2019,10.03.2020,29.09.2020
2_7-20 R,2_7_2020,Phillips Petroleum Company Norway,18,WILDCAT,RE-CLASS TO DEV,OIL,EXPLORATION, NO,14.10.1991,01.11.1991,EMBLA,566-L4,2_7-20 Embla,NO,0,,NS 210  SP.720,5.2,22,4534,4535,71,,DEVONIAN            ,NO GROUP DEFINED    ,NORTH SEA,WEST DELTA,SEMISUB STEEL,MOVEABLE,1-A,NO,WILDCAT,1991,1991,2_7-D-20   ,PLUGGING,5,NO GROUP DEFINED,DEVONIAN,,,                    ,                    ,19,YES,,,,ED50  ,56,20,0.1,N,3,14,54.7,E,56.333361,3.248528,6243349.04,515367.19,31,2,7, ,20,R,, ,https:__factpages.npd.no_factpages_default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1875,https:__factmaps.npd.no_factmaps_3_0_?run=WellboreExpByNPDID&scale=100000&NPDID=1875,re-entry            ,2_7_2020,10.10.2012,01.11.1993,01.11.1991,1875,44132,43534,287821,2121,20900,,18.10.2019,03.10.2019,29.09.2020
2_7-21 S,2_7_2021,Phillips Petroleum Company Norway,18,APPRAISAL,SUSPENDED,OIL,EXPLORATION, NO,21.06.1989,09.01.1990,EMBLA,610-L,2_7-20 Embla,NO,169,,NS 210  SP 720,44.9,22,4706,5038,71,,DEVONIAN            ,NO GROUP DEFINED    ,NORTH SEA,ROSS ISLE,SEMISUB STEEL,MOVEABLE,1-A,NO,APPRAISAL,1989,1990,,,5,NO GROUP DEFINED,DEVONIAN,,,                    ,                    ,203,NO,,,,ED50  ,56,19,59.65,N,3,14,53.89,E,56.333236,3.248303,6243335.07,515353.32,31,2,7, ,21,S,, ,https:__factpages.npd.no_factpages_default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1394,https:__factmaps.npd.no_factmaps_3_0_?run=WellboreExpByNPDID&scale=100000&NPDID=1394,initial             ,                                        ,26.05.2009,09.01.1992,,1394,44132,43534,296245,0,20900,,03.10.2019,10.03.2020,29.09.2020
2_7-21 SR,2_7_2021,Phillips Petroleum Company Norway,18,APPRAISAL,RE-CLASS TO DEV,OIL,EXPLORATION, NO,13.09.1991,14.10.1991,EMBLA,610-L2,2_7-20 Embla,NO,0,,NS 210 SP 720,44.9,29,4713,5045,71,,DEVONIAN            ,NO GROUP DEFINED    ,NORTH SEA,WEST DELTA,SEMISUB STEEL,MOVEABLE,1-A,NO,APPRAISAL,1991,1991,2_7-D-21   ,TESTING,5,NO GROUP DEFINED,DEVONIAN,,,                    ,                    ,32,YES,,,,ED50  ,56,19,59.65,N,3,14,53.89,E,56.333236,3.248303,6243335.07,515353.32,31,2,7, ,21,SR,, ,https:__factpages.npd.no_factpages_default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1861,https:__factmaps.npd.no_factmaps_3_0_?run=WellboreExpByNPDID&scale=100000&NPDID=1861,re-entry            ,2_7-21 S                                ,26.05.2009,14.10.1993,26.02.1993,1861,44132,43534,287821,2111,20900,,18.10.2019,03.10.2019,29.09.2020
2_7_2022,2_7_2022,BP Petroleum Dev. of Norway AS,145,WILDCAT,P&A,GAS_CONDENSATE,EXPLORATION, NO,17.05.1990,15.10.1990,,637-L,2_7_2022,YES,166,,BPN 88 208 (SP 410),5,23.5,4750,4750,69.5,,DEVONIAN            ,NO GROUP DEFINED    ,NORTH SEA,ROSS ISLE,SEMISUB STEEL,MOVEABLE,12,NO,WILDCAT,1990,1990,,,17,NO GROUP DEFINED,DEVONIAN,,,                    ,                    ,152,NO,,,,ED50  ,56,17,46.25,N,3,9,32.01,E,56.296181,3.158892,6239194.17,509834.28,31,2,7, ,22,,, ,https:__factpages.npd.no_factpages_default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1495,https:__factmaps.npd.no_factmaps_3_0_?run=WellboreExpByNPDID&scale=100000&NPDID=1495,initial             ,                                        ,17.12.2003,15.10.1992,,1495,44138,,296245,0,21972,,03.10.2019,10.03.2020,29.09.2020
2_7-23 S,2_7_2023,Phillips Petroleum Company Norway,18,APPRAISAL,P&A,OIL,EXPLORATION, NO,15.05.1990,21.11.1990,EMBLA,636-L,2_7-20 Embla,NO,158,,X-OVER LINES 295 OG 1146,30.8,29,4466,4760,71,,DEVONIAN            ,NO GROUP DEFINED    ,NORTH SEA,WEST DELTA,SEMISUB STEEL,MOVEABLE,1-A,NO,APPRAISAL,1990,1990,,,5,NO GROUP DEFINED,DEVONIAN,,,                    ,                    ,191,NO,,,,ED50  ,56,19,59.81,N,3,14,53.63,E,56.333281,3.248231,6243340,515348.84,31,2,7, ,23,S,, ,https:__factpages.npd.no_factpages_default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1547,https:__factmaps.npd.no_factmaps_3_0_?run=WellboreExpByNPDID&scale=100000&NPDID=1547,initial             ,                                        ,26.05.2009,21.11.1992,,1547,44132,43534,287821,0,20900,,06.03.2020,10.03.2020,29.09.2020
2_7_2024,2_7_2024,Phillips Petroleum Company Norway,18,WILDCAT,P&A,DRY,EXPLORATION, NO,07.11.1990,13.04.1991,,653-L,,NO,130,,PC 88 - 389- SP. 1090,20,22.3,4986,5023,70,,LATE JURASSIC       ,FARSUND FM          ,NORTH SEA,ROSS ISLE,SEMISUB STEEL,MOVEABLE,1-A,NO,WILDCAT,1990,1991,,,1,,,,,                    ,                    ,158,NO,,,,ED50  ,56,18,33,N,3,19,23.56,E,56.309167,3.323211,6240675.2,519997.7,31,2,7, ,24,,, ,https:__factpages.npd.no_factpages_default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1613,https:__factmaps.npd.no_factmaps_3_0_?run=WellboreExpByNPDID&scale=100000&NPDID=1613,initial             ,                                        ,03.10.2013,13.04.1993,,1613,,,296245,0,20900,,06.03.2020,10.03.2020,29.09.2020
2_7-25 S,2_7_2025,Phillips Petroleum Company Norway,18,APPRAISAL,P&A,DRY,EXPLORATION, NO,29.11.1990,31.03.1991,EMBLA,657-L,2_7-20 Embla,NO,155,,KRYSN.  3D LINJER  460 OG 1173,37.6,29,4560,5177,70,,DEVONIAN            ,NO GROUP DEFINED    ,NORTH SEA,WEST DELTA,SEMISUB STEEL,MOVEABLE,1-A,NO,APPRAISAL,1990,1991,,,1,,,,,                    ,                    ,123,NO,,,,ED50  ,56,19,59.69,N,3,14,53.9,E,56.333247,3.248306,6243336.31,515353.49,31,2,7, ,25,S,, ,https:__factpages.npd.no_factpages_default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1679,https:__factmaps.npd.no_factmaps_3_0_?run=WellboreExpByNPDID&scale=100000&NPDID=1679,initial             ,                                        ,05.12.2012,31.03.1993,,1679,44132,43534,287821,0,20900,,06.03.2020,10.03.2020,29.09.2020
2_7-26 S,2_7_2026,Phillips Petroleum Company Norway,18,APPRAISAL,RE-CLASS TO DEV,OIL,EXPLORATION, NO,20.03.1991,13.09.1991,EMBLA,674-L,2_7-20 Embla,NO,167,,PC-88  LINE 369 & COLUMN 1061,24,29,4697,4848,70.8,,DEVONIAN            ,NO GROUP DEFINED    ,NORTH SEA,WEST DELTA,SEMISUB STEEL,MOVEABLE,1-A,NO,APPRAISAL,1991,1991,2_7-D-26   ,,5,NO GROUP DEFINED,DEVONIAN,,,                    ,                    ,178,NO,,,,ED50  ,56,19,59.59,N,3,14,53.55,E,56.333219,3.248208,6243333.2,515347.49,31,2,7, ,26,S,, ,https:__factpages.npd.no_factpages_default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1756,https:__factmaps.npd.no_factmaps_3_0_?run=WellboreExpByNPDID&scale=100000&NPDID=1756,initial             ,                                        ,26.05.2009,13.09.1993,02.03.1993,1756,44132,43534,287821,2120,20900,,06.03.2020,10.03.2020,29.09.2020
